"category","content","vet_id"
"small_intestine","Pared engrosada focalmente","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Pared engrosada","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Estrato muscular engrosado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Estrato submucoso engrosado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Estrato mucoso engrosado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Se observa imagen hiperecogénica con sombra acústica posterior, sugerente de cuerpo extraño.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Peristaltismo normal","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Peristaltismo aumentado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Peristaltismo disminuido","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Peristaltismo ausente, ileo","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Se observa signo de obstrucción","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Se observa signo de intestino corrugado","da07b0a1-53a8-42db-9c7a-748415bf9734"
"small_intestine","Se observan multiples capas concéntrica, sugerente de intususcepción","da07b0a1-53a8-42db-9c7a-748415bf9734"
"urinary_bladder","Escaso contenido, no evaluable.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"urinary_bladder","Distensión moderada.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"urinary_bladder","Sobredistendida.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"urinary_bladder","Contenido anecoico puro.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"urinary_bladder","Contenido anecoico, con sedimento celular.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"urinary_bladder","Contenido anecoico, con sedimento mineralizado.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"urinary_bladder","Se observa estructura hiperecogénica con sombra posterior, sugerente de Cálculo.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"urinary_bladder","Pared conservada.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"urinary_bladder","Pared con aumento del espesor generalizado.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"urinary_bladder","Pared con aumento del espesor localizado, en","da07b0a1-53a8-42db-9c7a-748415bf9734"
"urinary_bladder","Se observa formaicónpolipoide.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"lymph_nodes","Ecográficamente conservados.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"lymph_nodes","No se observaron linfonódulos reactivos durante este estudio.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"lymph_nodes","Se observan linfonódulos reactivos.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"lymph_nodes","Ecogenicidad reducida.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"lymph_nodes","Forma redondeada.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"diagnosis","De características ecográficas conservadas","da07b0a1-53a8-42db-9c7a-748415bf9734"
"diagnosis","Se observa colecta interna","da07b0a1-53a8-42db-9c7a-748415bf9734"
"diagnosis","Bilobulada, simétrica, de textura fina a media, ecogénica","da07b0a1-53a8-42db-9c7a-748415bf9734"
"diagnosis","Hemisferios prostaticos evidencian asimetría","da07b0a1-53a8-42db-9c7a-748415bf9734"
"diagnosis","Homogéneo","da07b0a1-53a8-42db-9c7a-748415bf9734"
"diagnosis","Heterogéneo","da07b0a1-53a8-42db-9c7a-748415bf9734"
"diagnosis","Se observa lesión quística","da07b0a1-53a8-42db-9c7a-748415bf9734"
"diagnosis","Tamaño normal","da07b0a1-53a8-42db-9c7a-748415bf9734"
"diagnosis","Prostatomegalia.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","YORK SHIRE TERRIER","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","SHIH TZU","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","PUG","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","BEAGLE","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","PERSA","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","JACK RUSSEL TERRIER","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","BULLDOG","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","POODLE","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","SCHNAUZER","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","CRIOLLO","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","BULL TERRIER","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","LABRADOR","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","PINSCHER","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","POINTER ALEMAN","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","TECKEL","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","COCKER","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","CHIHUAHUA","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","PASTOR ALEMAN","da07b0a1-53a8-42db-9c7a-748415bf9734"
"left_kidney","Tamaño y ubicación anatómica normal","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","POMERANIA","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","GOLDEN RETRIVER","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","BASSET HOUND","da07b0a1-53a8-42db-9c7a-748415bf9734"
"right_kidney","Arteria y vena renal normal, vasos arcuados normales, al doppler color se observa normalidad","da07b0a1-53a8-42db-9c7a-748415bf9734"
"left_kidney","Arteria y vena renal normal, vasos arcuados normales","da07b0a1-53a8-42db-9c7a-748415bf9734"
"left_kidney","Doppler color normal.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"major_vessels","Normales.","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","ROTTWEILER","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","Boxer","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","PASTOR COLLIE","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","BOXER","da07b0a1-53a8-42db-9c7a-748415bf9734"
"reason_for_ultrasound","Diagnóstico de preñez, tiempo gestación","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","SHAR PEI","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","DOGO DE BURDEOS","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","SIBERIAN HUSKY","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","CANINO","da07b0a1-53a8-42db-9c7a-748415bf9734"
"uterus","Ventral  a la vejiga se localiza el útero este se encuentra con contenido de fetos","da07b0a1-53a8-42db-9c7a-748415bf9734"
"uterus","Todos los fetos presentan fetocardia positiva,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"uterus","Se hace medición de los sacos gestacionales,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"uterus","Todos los fetos presentan un desarrollo adecuado para la edad calculada,","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","BOSTON TERRIER","da07b0a1-53a8-42db-9c7a-748415bf9734"
"urinary_bladder","Paredes con aumento de grosor e irregularidad en sus bordes de mucosa","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Bordes finos, triangulares sin exceder el límite anatómico normal del estómago ni del riñón derecho","da07b0a1-53a8-42db-9c7a-748415bf9734"
"liver","Bordes redondeados, aumentados de tamaño, excediendo  su límite con relación al estómago","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","FELINO","da07b0a1-53a8-42db-9c7a-748415bf9734"
"breed","BULLDOG FRANCES","da07b0a1-53a8-42db-9c7a-748415bf9734"
